event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
2241,131,Grêmio,home, 87 ,Yellow card, Bruno Alves ,
2242,132,CRB,away, 15 ,Goal, Rafael Longuine , Paulinho Moccelin 
2243,132,Sampaio Corrêa,home, 21 ,Own goal, Gum , Own goal 
2244,132,CRB,away, 32 ,Yellow card, Paulinho Moccelin ,
2245,132,Sampaio Corrêa,home, 36 ,Substitution, Paulo Sérgio , Joecio 
2246,132,Sampaio Corrêa,home, 39 ,Substitution, Léo Tocantins , Ygor Catatau 
2247,132,Sampaio Corrêa,home, 46 ,Yellow card, Rafael Vila ,
2248,132,CRB,away, 48 ,Yellow card, Gum ,
2249,132,Sampaio Corrêa,home, 49 ,Yellow card, Matheusinho ,
2250,132,CRB,away, 52 ,Yellow card, Jalysson Gabriel ,
2251,132,CRB,away, 62 ,Substitution, Reginaldo Lopes , Guilherme Lopes 
2252,132,CRB,away, 69 ,Substitution, Gabriel Conceição , Anselmo Ramon 
2253,132,CRB,away, 69 ,Substitution, Richard Rodrigues , Paulinho Moccelin 
2254,132,CRB,away, 69 ,Substitution, Bruninho , Rafael Longuine 
2255,132,Sampaio Corrêa,home, 70 ,Yellow card, Paulo Sérgio ,
2256,132,CRB,away, 75 ,Substitution, Wellington Carvalho , Diego Ivo 
2257,132,Sampaio Corrêa,home, 81 ,Substitution, Rafael Costa , Gabriel Poveda 
2258,132,Sampaio Corrêa,home, 81 ,Substitution, Lucas Araújo , Ferreira 
2259,132,Sampaio Corrêa,home, 81 ,Substitution, Nadson , Rafael Vila 
2260,132,CRB,away, 84 ,Goal, Fabinho , Gabriel Conceição 
2261,132,Sampaio Corrêa,home, 85 ,Yellow card, Léo Tocantins ,
2262,133,Chapecoense,home, 10 ,Yellow card, Victor Ramos ,
2263,133,Brusque,away, 59 ,Yellow card, Edílson ,
2264,133,Chapecoense,home, 60 ,Substitution, Chrystian Barletta , Felipe Ferreira 
2265,133,Chapecoense,home, 60 ,Substitution, Betinho , Darlan 
